Jabatan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
DEWAS_KETUA,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000
DEWAS_ANGGOTA_1,17150000,0,17150000,0,17150000,17150000,17150000,17150000,17150000,17150000,17150000,17150000
DEWAS_ANGGOTA_2,17150000,0,17150000,0,17150000,17150000,17150000,17150000,17150000,17150000,17150000,17150000
DIRUT,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000,21300000
DIRUM,17150000,17150000,17150000,17150000,0,17150000,17150000,17150000,0,17150000,17150000,17150000
DIRTEK,17150000,17150000,17150000,17150000,0,17150000,17150000,17150000,0,17150000,17150000,17150000
DIROPS,17150000,17150000,17150000,17150000,0,17150000,17150000,17150000,0,17150000,17150000,17150000
ADM_MANAJER,36300000,24200000,24200000,36300000,24200000,36300000,24200000,36300000,24200000,36300000,24200000,36300000
ADM_SUPERVISOR,62400000,20800000,52000000,31200000,52000000,31200000,52000000,31200000,52000000,31200000,52000000,72800000
ADM_STAF_PELAKSANA,35600000,26700000,26700000,35600000,26700000,35600000,26700000,35600000,26700000,35600000,26700000,35600000
TEKNIK_MANAJER,24200000,36300000,24200000,36300000,24200000,36300000,24200000,36300000,24200000,36300000,24200000,36300000
TEKNIK_SUPERVISOR,62400000,41600000,62400000,41600000,62400000,41600000,62400000,41600000,62400000,41600000,62400000,41600000
TEKNIK_STAF_PELAKSANA,8900000,17800000,8900000,17800000,8900000,17800000,8900000,17800000,8900000,17800000,8900000,17800000
